DATE,Day,Month,Year,Quarter,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
27-Mar-26,Friday,March,2026,Q1,EQ,121.35,122.76,119.65,123.49,121.30,121.44,121.78,158.00,69.71,16040481.00,59399.00
25-Mar-26,Wednesday,March,2026,Q1,EQ,122.55,124.98,122.55,119.57,123.50,123.49,123.70,158.00,69.71,11582422.00,41013.00
24-Mar-26,Tuesday,March,2026,Q1,EQ,115.18,120.33,115.02,113.49,119.90,119.57,118.27,158.00,69.71,22619704.00,72749.00
23-Mar-26,Monday,March,2026,Q1,EQ,120.66,120.66,110.64,125.18,114.01,113.49,114.94,158.00,69.71,37141643.00,170083.00
20-Mar-26,Friday,March,2026,Q1,EQ,127.73,127.73,124.20,125.14,125.48,125.18,125.68,158.00,69.71,11959683.00,52046.00
19-Mar-26,Thursday,March,2026,Q1,EQ,128.93,130.23,124.50,132.24,125.40,125.14,126.68,158.00,69.71,16904923.00,82091.00
18-Mar-26,Wednesday,March,2026,Q1,EQ,133.94,133.94,131.59,132.57,132.20,132.24,132.03,158.00,69.71,6372568.00,31113.00
17-Mar-26,Tuesday,March,2026,Q1,EQ,131.39,134.50,131.39,131.33,132.60,132.57,132.85,158.00,69.71,6375084.00,30032.00
16-Mar-26,Monday,March,2026,Q1,EQ,134.45,134.45,130.98,134.81,131.35,131.33,132.00,158.00,69.71,11938612.00,66547.00
13-Mar-26,Friday,March,2026,Q1,EQ,135.03,136.24,134.33,137.07,134.85,134.81,135.07,158.00,69.71,6875564.00,36214.00
12-Mar-26,Thursday,March,2026,Q1,EQ,139.50,139.50,135.13,137.45,137.14,137.07,136.87,158.00,69.71,4700485.00,30026.00
11-Mar-26,Wednesday,March,2026,Q1,EQ,139.68,139.68,136.92,137.02,137.40,137.45,137.35,158.00,69.71,6503849.00,29655.00
10-Mar-26,Tuesday,March,2026,Q1,EQ,134.75,138.73,134.75,136.09,136.87,137.02,136.84,158.00,69.71,9726609.00,36140.00
9-Mar-26,Monday,March,2026,Q1,EQ,135.26,137.11,134.44,135.26,135.78,136.09,135.67,158.00,69.71,11274662.00,59739.00
6-Mar-26,Friday,March,2026,Q1,EQ,137.00,137.00,135.00,136.94,135.33,135.26,136.01,158.00,69.71,13543465.00,42536.00
5-Mar-26,Thursday,March,2026,Q1,EQ,138.83,138.83,136.00,138.30,137.00,136.94,137.06,158.00,69.71,8902266.00,44922.00
4-Mar-26,Wednesday,March,2026,Q1,EQ,142.44,142.44,136.00,143.55,138.40,138.30,138.22,158.00,69.71,20143773.00,92478.00
2-Mar-26,Monday,March,2026,Q1,EQ,138.88,147.36,138.88,136.29,143.60,143.55,143.30,158.00,69.71,29602505.00,125093.00
27-Feb-26,Friday,February,2026,Q1,EQ,132.30,136.44,132.30,135.01,136.34,136.29,136.10,158.00,69.71,6390726.00,28652.00
26-Feb-26,Thursday,February,2026,Q1,EQ,139.77,139.89,134.51,136.37,135.14,135.01,135.56,158.00,69.71,4795718.00,29908.00
25-Feb-26,Wednesday,February,2026,Q1,EQ,139.10,140.00,135.59,135.71,136.35,136.37,136.23,158.00,69.71,7867258.00,31222.00
24-Feb-26,Tuesday,February,2026,Q1,EQ,136.45,136.46,135.00,134.72,135.86,135.71,135.57,158.00,69.71,8819255.00,33056.00
23-Feb-26,Monday,February,2026,Q1,EQ,135.46,137.16,129.37,132.16,134.79,134.72,134.69,158.00,69.71,9791936.00,51903.00
20-Feb-26,Friday,February,2026,Q1,EQ,134.77,134.77,130.01,131.49,132.01,132.16,131.60,158.00,69.71,5338761.00,26942.00
19-Feb-26,Thursday,February,2026,Q1,EQ,131.00,132.49,129.86,129.00,131.57,131.49,131.67,158.00,69.71,8213255.00,33559.00
18-Feb-26,Wednesday,February,2026,Q1,EQ,128.14,129.71,128.14,128.89,129.01,129.00,129.28,158.00,69.71,9613306.00,32396.00
17-Feb-26,Tuesday,February,2026,Q1,EQ,130.75,130.75,127.51,131.63,129.12,128.89,128.97,158.00,69.71,10152345.00,52993.00
16-Feb-26,Monday,February,2026,Q1,EQ,130.48,133.88,130.20,130.62,131.40,131.63,131.21,158.00,69.71,13968616.00,49736.00
13-Feb-26,Friday,February,2026,Q1,EQ,129.33,130.98,128.80,133.31,130.60,130.62,130.47,158.00,69.71,9802098.00,51836.00
